id,stationID,longitude,latitude,live,avg,cityID,stateID
site_262,"Central University, Hyderabad - TSPCB",78.334361,17.460103,TRUE,13,Hyderabad,Telangana
site_5596,"ECIL Kapra, Hyderabad - TSPCB",78.566959,17.470431,FALSE,,Hyderabad,Telangana
site_251,"ICRISAT Patancheru, Hyderabad - TSPCB",78.278777,17.5184,TRUE,19,Hyderabad,Telangana
site_275,"IDA Pashamylaram, Hyderabad - TSPCB",78.218939,17.5316895,TRUE,27,Hyderabad,Telangana
site_5597,"IITH Kandi, Hyderabad - TSPCB",78.126199,17.585705,TRUE,43,Hyderabad,Telangana
site_5604,"Kokapet, Hyderabad - TSPCB",78.339194,17.393559,TRUE,34,Hyderabad,Telangana
site_5599,"Kompally Municipal Office, Hyderabad - TSPCB",78.486949,17.544899,TRUE,59,Hyderabad,Telangana
site_5600,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",78.569354,17.429398,TRUE,37,Hyderabad,Telangana
site_5595,"New Malakpet, Hyderabad - TSPCB",78.50864,17.37206,TRUE,60,Hyderabad,Telangana
site_5602,"Ramachandrapuram, Hyderabad - TSPCB",78.286195,17.528544,TRUE,42,Hyderabad,Telangana
site_294,"Sanathnagar, Hyderabad - TSPCB",78.4332152,17.4559458,TRUE,34,Hyderabad,Telangana
site_5598,"Somajiguda, Hyderabad - TSPCB",78.457437,17.417094,TRUE,51,Hyderabad,Telangana
site_298,"Zoo Park, Hyderabad - TSPCB",78.451437,17.349694,TRUE,27,Hyderabad,Telangana
site_5594,"Doon University, Dehradun - UKPCB",78.044167,30.269444,FALSE,,Dehradun,Uttarakhand
site_5491,"Sector 22, Chandigarh - CPCC",76.775714,30.735567,TRUE,47,Chandigarh,Chandigarh
site_5127,"Sector-25, Chandigarh - CPCC",76.762879,30.751462,TRUE,66,Chandigarh,Chandigarh
site_5582,"Sector-53, Chandigarh - CPCC",76.738637,30.719859,FALSE,,Chandigarh,Chandigarh
site_5238,"Ballygunge, Kolkata - WBPCB",88.3638022,22.5367507,TRUE,46,Kolkata,West Bengal
site_5129,"Bidhannagar, Kolkata - WBPCB",88.41002457,22.58157048,TRUE,22,Kolkata,West Bengal
site_5110,"Fort William, Kolkata - WBPCB",88.342674,22.55664,TRUE,37,Kolkata,West Bengal
site_5111,"Jadavpur, Kolkata - WBPCB",88.36917,22.49929,TRUE,27,Kolkata,West Bengal
site_296,"Rabindra Bharati University, Kolkata - WBPCB",88.380669,22.627847,TRUE,52,Kolkata,West Bengal
site_5126,"Rabindra Sarobar, Kolkata - WBPCB",88.35142,22.51106,TRUE,23,Kolkata,West Bengal
site_309,"Victoria, Kolkata - WBPCB",88.3403691,22.5448082,TRUE,36,Kolkata,West Bengal
site_5101,"Belur Math, Howrah - WBPCB",88.352017,22.629801,TRUE,27,Howrah,West Bengal
site_274,"Ghusuri, Howrah - WBPCB",88.347422,22.611968,TRUE,41,Howrah,West Bengal
site_1416,"Padmapukur, Howrah - WBPCB",88.2797276,22.5687319,TRUE,27,Howrah,West Bengal
site_299,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",87.2892225,23.5404352,FALSE,,Durgapur,West Bengal
site_1419,"Ward-32 Bapupara, Siliguri - WBPCB",88.412668,26.6883049,TRUE,48,Siliguri,West Bengal
site_1418,"Asansol Court Area, Asansol - WBPCB",86.945968,23.685297,FALSE,,Asansol,West Bengal
site_300,"Haldia, Haldia - WBPCB",88.109737,22.06047,TRUE,28,Haldia,West Bengal
site_253,"Punjab Agricultural University, Ludhiana - PPCB",75.8086,30.9028,TRUE,72,Ludhiana,Punjab
site_256,"Golden Temple, Amritsar - PPCB",74.876512,31.62,TRUE,115,Amritsar,Punjab
site_1438,"Civil Line, Jalandhar - PPCB",75.578914,31.321907,TRUE,84,Jalandhar,Punjab
site_1437,"Model Town, Patiala - PPCB",76.366642,30.349388,TRUE,60,Patiala,Punjab
site_1538,"Ratanpura, Rupnagar - Ambuja Cements",76.5623046,31.0325454,TRUE,140,Rupnagar,Punjab
site_255,"RIMT University, Mandi Gobindgarh - PPCB",76.331442,30.649961,TRUE,100,Mandi Gobindgarh,Punjab
site_1549,"Hardev Nagar, Bathinda - PPCB",74.907758,30.233011,TRUE,78,Bathinda,Punjab
